484468.002000
trans_code vehicle_type dis_seq distribute_lea_tm distribute_arr_tm distance trans_cost charge_cost wait_cost fixed_use_cost total_cost charge_cnt
DP0001 2 20000;20057;20398;20829;21026;20327;20070;20938;21206;21371;21218;21494;20000 8:0 16:47 138941 1945.17 50 8.40 300 2303.57 1
DP0002 2 20000;20123;20133;21072;21111;20065;20702;21201;21209;21329;21295;21223;21476;20000 8:0 17:40 142950 2001.30 50 6.80 300 2358.10 1
DP0003 2 20000;20672;20645;20409;21098;20203;20000 8:0 12:41 113620 1590.68 0 0.40 300 1891.08 0
DP0004 1 20000;20261;20290;20249;20347;20189;20012;21205;21287;21350;21351;21491;20000 8:0 17:27 141705 1700.46 50 5.60 200 1956.06 1
DP0005 2 20000;20296;20024;20286;20138;20072;20844;21230;21366;21242;21453;21379;20000 8:0 17:4 171041 2394.57 50 3.60 300 2748.17 1
DP0006 1 20000;20583;20765;20007;20469;20117;20010;21208;21288;21382;21421;21349;20000 8:0 17:10 163599 1963.19 50 0.00 200 2213.19 1
DP0007 2 20000;20543;20056;20257;20471;20359;20361;21265;21290;21211;21219;20000 8:0 16:52 123700 1731.80 0 17.60 300 2049.40 0
DP0008 1 20000;20735;20507;20950;20208;20638;21460;20000 8:0 13:49 123698 1484.38 50 0.00 200 1734.38 1
DP0009 2 20000;20760;20119;20004;20035;20414;21130;21272;21239;21214;21341;21210;20000 8:0 17:8 115450 1616.30 0 12.40 300 1928.70 0
DP0010 1 20000;20869;20716;20017;21128;20836;20416;21237;21262;21228;21474;21215;20000 8:0 16:43 124256 1491.07 50 0.00 200 1741.07 1
DP0011 2 20000;20891;20728;20147;20384;20115;20042;21213;21204;21277;21429;20000 8:0 16:30 163491 2288.87 50 0.00 300 2638.87 1
DP0012 1 20000;21019;21196;20568;20498;20277;20501;21231;21358;21303;21273;21454;20000 8:0 17:27 144710 1736.52 50 0.00 200 1986.52 1
DP0013 2 20000;21037;20841;20566;20019;21002;20486;21234;21257;21246;21330;21478;20000 8:0 17:28 129015 1806.21 50 26.80 300 2183.01 1
DP0014 1 20000;21122;20023;20247;20300;20733;20098;21243;21235;21313;21226;21404;20000 8:0 17:28 143806 1725.67 50 4.80 200 1980.47 1
DP0015 1 20000;20779;20089;20800;20054;21413;20000 8:0 13:17 114451 1373.41 50 0.00 200 1623.41 1
DP0016 1 20000;21194;20006;20646;20410;20538;20071;21268;21254;21233;21238;21413;20000 8:0 17:31 162562 1950.74 50 10.00 200 2210.74 1
DP0017 1 20000;20793;20517;20364;20207;21280;21496;20000 8:0 14:46 123461 1481.53 50 9.60 200 1741.13 1
DP0018 2 20000;20055;20792;20025;20097;21031;21266;21314;21384;21293;21442;20000 8:0 17:18 146938 2057.13 50 19.60 300 2426.73 1
DP0019 2 20000;20068;20141;21166;20831;20998;20050;21396;21259;21363;21217;21225;21476;20000 8:0 17:26 125398 1755.57 50 7.20 300 2112.77 1
DP0020 2 20000;20131;20031;20806;20018;20763;21283;21289;21387;21474;20000 8:0 16:15 145686 2039.60 50 0.00 300 2389.60 1
DP0021 2 20000;20146;20591;20015;21103;21085;20871;21292;21221;21380;21497;20000 8:0 17:10 156726 2194.16 50 14.40 300 2558.56 1
DP0022 2 20000;20154;20139;20618;21077;20902;20540;21298;21354;21271;21338;21394;21427;20000 8:0 18:12 189964 2659.50 50 4.00 300 3013.50 1
DP0023 2 20000;20166;20220;20554;20722;20866;20219;21302;21339;21220;21411;20000 8:0 17:0 148103 2073.44 50 6.80 300 2430.24 1
DP0024 2 20000;20171;20266;20942;20499;20122;21240;21297;21443;21361;20000 8:0 16:59 183531 2569.43 50 11.60 300 2931.03 1
DP0025 2 20000;20174;20046;20280;20758;20324;20886;21269;21357;21245;21250;21420;20000 8:0 17:40 152622 2136.71 50 9.60 300 2496.31 1
DP0026 1 20000;20928;20372;20258;20401;20000 8:0 12:20 90142 1081.70 0 0.00 200 1281.70 0
