388926.996000
trans_code vehicle_type dis_seq distribute_lea_tm distribute_arr_tm distance trans_cost charge_cost wait_cost fixed_use_cost total_cost charge_cnt
DP0001 1 40000;40327;40023;40111;40216;40713;40445;41012;41020;41002;41112;41035;40000 8:0 16:44 98884 1186.61 0 15.60 200 1402.21 0
DP0002 1 40000;40556;40222;40514;40258;40530;40000 8:0 12:52 101917 1223.00 0 0.00 200 1423.00 0
DP0003 2 40000;40038;40759;40131;40205;40044;40269;41192;41155;41175;41290;40000 8:0 17:8 152234 2131.28 50 3.20 300 2484.48 1
DP0004 1 40000;40189;40012;40973;40138;40741;40014;40156;41016;41014;41106;41121;41220;40000 8:0 17:41 131437 1577.24 50 0.00 200 1827.24 1
DP0005 1 40000;40228;40008;40002;40410;40679;41017;41143;41173;41181;41259;40000 8:0 17:40 122108 1465.30 50 24.80 200 1740.10 1
DP0006 1 40000;40599;40143;40528;40753;41263;40000 8:0 13:51 153269 1839.23 50 0.00 200 2089.23 1
DP0007 2 40000;40277;40315;40906;40493;40462;40636;40007;41025;41063;41059;41005;40000 8:0 16:8 79460 1112.44 0 10.00 300 1422.44 0
DP0008 1 40000;40311;40738;40902;40628;40455;40347;41038;41044;41123;41006;41206;40000 8:0 17:58 137402 1648.82 50 9.20 200 1908.02 1
DP0009 1 40000;40338;40639;40133;40970;40310;40221;40042;41042;41152;41011;41139;41062;41289;40000 8:0 17:59 131351 1576.21 50 0.00 200 1826.21 1
DP0010 1 40000;40450;40057;40018;40767;40800;40241;41057;41238;41032;41058;40000 8:0 17:11 187040 2244.48 50 0.00 200 2494.48 1
DP0011 1 40000;40540;40212;40140;40641;40070;40724;41085;41072;41034;41095;41169;41299;40000 8:0 17:42 124156 1489.87 50 5.20 200 1745.07 1
DP0012 1 40000;40545;40109;40178;40034;40080;41049;41037;41101;41205;40000 8:0 17:14 160239 1922.87 50 20.00 200 2192.87 1
DP0013 1 40000;40655;40950;40274;40980;41206;40000 8:0 14:9 116729 1400.75 50 0.00 200 1650.75 1
DP0014 2 40000;40651;40142;40307;40166;40220;40219;41108;41141;41023;41009;41052;41252;40000 8:0 17:42 166917 2336.84 50 2.40 300 2689.24 1
DP0015 1 40000;40664;40017;40169;40065;40055;41077;41134;41096;41232;41187;40000 8:0 16:44 142560 1710.72 50 9.60 200 1970.32 1
DP0016 1 40000;40675;40464;40621;40689;40908;40509;40995;41137;41156;41100;41198;40000 8:0 16:44 95820 1149.84 0 7.20 200 1357.04 0
DP0017 1 40000;40761;40261;40469;40336;40123;40077;41142;41010;41224;40000 8:0 16:53 147277 1767.32 50 26.80 200 2044.12 1
DP0018 1 40000;40706;40734;40763;40417;40965;41290;40000 8:0 13:53 112002 1344.02 50 0.00 200 1594.02 1
DP0019 1 40000;40798;40914;40301;40841;40666;40116;41149;41150;41065;41013;41165;41284;40000 8:0 18:30 134766 1617.19 50 0.00 200 1867.19 1
DP0020 1 40000;40839;40300;40022;40032;40033;41171;41193;41022;41214;41004;41067;40000 8:0 17:16 157056 1884.67 50 2.00 200 2136.67 1
DP0021 1 40000;40881;40654;40342;40295;40324;40354;40297;41153;41161;41079;41107;41043;41211;40000 8:0 17:51 120367 1444.40 50 0.00 200 1694.40 1
DP0022 1 40000;40888;40674;40587;40357;40458;40217;41180;41200;41018;41261;41158;41008;40000 8:0 17:46 163262 1959.14 50 0.00 200 2209.14 1
DP0023 2 40000;40775;40978;40238;40703;40947;41205;41003;40000 8:0 16:32 160427 2245.98 50 38.80 300 2634.78 1
DP0024 2 40000;40994;40484;40983;40948;40737;40757;41015;41092;41087;41130;41203;40000 8:0 17:18 143117 2003.64 50 4.00 300 2357.64 1
DP0025 1 40000;40011;40899;40284;40010;40184;41196;41064;41033;41040;41300;40000 8:0 16:45 135833 1630.00 50 11.20 200 1891.20 1
DP0026 2 40000;40036;40824;40240;40701;40699;40649;41199;41030;41083;41091;41235;40000 8:0 17:49 133365 1867.11 50 6.00 300 2223.11 1
DP0027 2 40000;40103;40164;40025;40715;40677;41021;41046;41036;41300;40000 8:0 16:58 152196 2130.74 50 9.60 300 2490.34 1
DP0028 1 40000;40108;40105;40062;40094;40248;41029;41138;41053;41114;41113;41284;40000 8:0 18:23 162733 1952.80 50 4.80 200 2207.60 1
DP0029 2 40000;40137;40251;40020;40615;40889;40323;41054;41136;41090;41247;41126;40000 8:0 17:23 188896 2644.54 50 0.00 300 2994.54 1
DP0030 2 40000;40885;40149;40619;40215;41263;40000 8:0 13:34 160673 2249.42 50 0.00 300 2599.42 1
DP0031 1 40000;40168;40340;40064;40088;40500;41069;41094;41047;41273;41178;40000 8:0 16:34 135086 1621.03 50 4.00 200 1875.03 1
DP0032 1 40000;40180;40334;40232;40183;40600;40040;41120;41183;41122;41222;40000 8:0 17:24 148497 1781.96 50 29.20 200 2061.16 1
DP0033 1 40000;40191;40112;40901;40097;40633;41078;41135;41019;41075;41197;41236;40000 8:0 17:31 128779 1545.35 50 20.00 200 1815.35 1
DP0034 1 40000;40206;40314;40004;40501;40892;41131;41071;41080;41253;40000 8:0 17:42 134735 1616.82 50 42.80 200 1909.62 1
DP0035 1 40000;40254;40153;40312;40789;40122;41066;41211;41151;40000 8:0 17:5 162387 1948.64 50 32.40 200 2231.04 1
DP0036 1 40000;40294;40167;40698;40050;40267;41127;41254;41144;41001;40000 8:0 15:47 156974 1883.69 50 16.80 200 2150.49 1
DP0037 2 40000;40353;40056;40074;40975;41070;41093;41172;41188;41026;41276;40000 8:0 18:7 187823 2629.52 50 12.80 300 2992.32 1
DP0038 1 40000;40404;40282;40031;40397;40399;41076;41189;41103;41208;40000 8:0 16:27 116818 1401.82 50 4.80 200 1656.62 1
DP0039 2 40000;40415;40371;40069;40635;40729;41081;41110;41162;41210;40000 8:0 17:23 164793 2307.10 50 18.40 300 2675.50 1
