386114.648000
trans_code vehicle_type dis_seq distribute_lea_tm distribute_arr_tm distance trans_cost charge_cost wait_cost fixed_use_cost total_cost charge_cnt
DP0001 1 30000;30315;30044;30021;30256;30022;30154;31101;31298;31240;31214;31325;30000 8:0 17:27 123216 1478.59 50 0.00 200 1728.59 1
DP0002 1 30000;30630;30229;30046;30011;30220;30458;31003;31104;31122;31167;31178;30000 8:0 16:27 101594 1219.13 0 12.40 200 1431.53 0
DP0003 1 30000;30076;31028;30019;30803;30007;31107;31115;31323;31117;30000 8:0 15:55 140121 1681.45 50 15.20 200 1946.65 1
DP0004 2 30000;30132;30034;30246;30020;30023;31108;31148;31259;31106;31225;31102;31305;30000 8:0 18:6 180496 2526.94 50 8.80 300 2885.74 1
DP0005 1 30000;30150;30009;30165;30005;30048;31116;31130;31343;31217;31278;30000 8:0 17:21 146099 1753.19 50 4.80 200 2007.99 1
DP0006 2 30000;30158;30532;30017;30790;30819;30078;31111;31312;31170;31181;30000 8:0 17:24 188155 2634.17 50 0.00 300 2984.17 1
DP0007 1 30000;30167;30204;31057;30788;30726;30927;30336;31112;31245;31133;31185;31177;31319;30000 8:0 17:26 126235 1514.82 50 6.40 200 1771.22 1
DP0008 1 30000;30173;30090;30069;30954;30091;31184;31188;30000 8:0 14:32 96191 1154.29 0 19.60 200 1373.89 0
DP0009 1 30000;30222;30822;30484;30776;30908;30589;31010;31134;31139;31137;31244;31373;30000 8:0 17:35 122203 1466.44 50 5.20 200 1721.64 1
DP0010 2 30000;30230;30160;30284;30136;30800;30991;31149;31250;31230;31269;31361;30000 8:0 18:18 144778 2026.89 50 16.80 300 2393.69 1
DP0011 2 30000;30310;30742;30052;30837;30428;30050;31150;31191;31283;31291;31252;30000 8:0 16:56 106762 1494.67 0 12.00 300 1806.67 0
DP0012 2 30000;30326;30041;30027;30971;30004;31169;31341;31176;31120;31151;30000 8:0 16:18 157045 2198.63 50 8.80 300 2557.43 1
DP0013 1 30000;30357;30799;30025;30892;30791;30118;31126;31307;31284;30000 8:0 16:10 145734 1748.81 50 1.60 200 2000.41 1
DP0014 2 30000;30373;30146;30449;30080;30181;30760;30830;31183;31282;31200;31266;31344;30000 8:0 17:48 150276 2103.86 50 0.00 300 2453.86 1
DP0015 2 30000;30391;30086;30056;30003;30938;31202;31125;31199;31243;31397;30000 8:0 17:51 149550 2093.70 50 36.40 300 2480.10 1
DP0016 2 30000;30431;30663;30094;30813;30032;31209;31271;31295;31277;31369;30000 8:0 17:20 150834 2111.68 50 17.20 300 2478.88 1
DP0017 2 30000;30460;31053;30758;30578;30959;30036;30462;31141;31129;31204;31270;31350;30000 8:0 17:43 146623 2052.72 50 0.00 300 2402.72 1
DP0018 2 30000;30479;30279;30558;31042;30485;30137;31195;31205;31114;31113;31361;30000 8:0 17:33 153211 2144.95 50 10.00 300 2504.95 1
DP0019 2 30000;30481;30540;30270;30134;30956;30944;31213;31146;30000 8:0 16:5 102026 1428.36 0 45.20 300 1773.56 0
DP0020 2 30000;30489;30320;30291;31048;30002;30918;31180;31144;31160;31132;30000 8:0 16:14 90928 1272.99 0 25.20 300 1598.19 0
DP0021 1 30000;30529;30939;30556;30106;30809;30491;30164;31187;31297;31260;31173;31312;30000 8:0 18:30 134850 1618.20 50 6.00 200 1874.20 1
DP0022 2 30000;30542;30679;30625;30982;30169;31004;30288;31285;31272;31234;31123;31232;30000 8:0 17:44 114926 1608.96 0 12.40 300 1921.36 0
DP0023 2 30000;30555;30263;30179;30325;30584;30670;31201;31203;31193;31279;31361;30000 8:0 17:46 150073 2101.02 50 17.60 300 2468.62 1
DP0024 1 30000;30719;30975;30040;30544;30037;30474;31289;31241;31179;31105;30000 8:0 15:25 88769 1065.23 0 12.00 200 1277.23 0
DP0025 2 30000;30734;30071;30258;30490;30013;30065;31210;31242;31211;31255;31159;31366;30000 8:0 18:33 157231 2201.23 50 6.80 300 2558.03 1
DP0026 1 30000;30825;30465;30701;30561;30635;31286;31347;31273;30000 8:0 17:6 147428 1769.14 50 18.80 200 2037.94 1
DP0027 2 30000;30780;30480;30033;30012;30193;30219;31290;31147;31196;31229;31338;30000 8:0 17:19 146520 2051.28 50 8.00 300 2409.28 1
DP0028 2 30000;30861;30397;30190;31061;30859;30168;30900;31300;31143;31189;31110;31384;30000 8:0 18:5 136608 1912.51 50 0.00 300 2262.51 1
DP0029 2 30000;30903;30627;30035;30170;30111;31206;31256;31265;31349;30000 8:0 16:19 141091 1975.27 50 14.80 300 2340.07 1
DP0030 2 30000;30910;30554;30321;30936;30865;30047;31103;31296;30000 8:0 15:27 109905 1538.67 0 14.40 300 1853.07 0
DP0031 1 30000;30942;30242;30235;30331;30753;30239;31135;31154;31338;31138;30000 8:0 16:5 117393 1408.72 50 10.80 200 1669.52 1
DP0032 2 30000;30968;30698;30096;31006;30422;30109;31215;31267;31118;31349;30000 8:0 16:46 145076 2031.06 50 0.80 300 2381.86 1
DP0033 2 30000;30995;30081;30087;30943;30755;30469;31158;31172;31152;31347;30000 8:0 18:4 138949 1945.29 50 27.20 300 2322.49 1
DP0034 2 30000;31018;30131;30988;30093;30511;30969;31166;31208;31155;30000 8:0 15:55 100324 1404.54 0 17.60 300 1722.14 0
DP0035 1 30000;31026;30098;30476;30018;30072;31379;31257;31220;31274;30000 8:0 17:11 195786 2349.43 50 16.40 200 2615.83 1
DP0036 1 30000;30924;30856;30712;30911;31085;31337;31219;31142;31236;30000 8:0 16:48 167468 2009.62 50 0.00 200 2259.62 1
DP0037 2 30000;31051;30249;30568;31095;30030;30816;31136;31281;31253;31131;31325;30000 8:0 17:21 141135 1975.89 50 7.20 300 2333.09 1
DP0038 1 30000;31066;30964;30191;30603;30703;30340;31162;31261;31163;30000 8:0 16:13 103276 1239.31 0 23.20 200 1462.51 0
DP0039 2 30000;31075;31037;30362;30038;31073;31060;31165;31223;31248;31231;31341;30000 8:0 17:24 151925 2126.95 50 12.40 300 2489.35 1
DP0040 1 30000;30963;30657;30866;30068;30718;31348;31175;30000 8:0 15:35 150764 1809.17 50 0.00 200 2059.17 1
DP0041 1 30000;31090;30287;30395;30121;30883;30352;31227;31186;31233;31395;30000 8:0 17:22 127069 1524.83 50 23.60 200 1798.43 1
DP0042 2 30000;31096;30390;30015;30218;30393;30105;31222;31226;31288;31388;30000 8:0 17:2 134493 1882.90 50 24.40 300 2257.30 1
DP0043 1 30000;30010;30774;30061;30060;31316;30000 8:0 13:32 139613 1675.36 50 0.80 200 1926.16 1
