ID	type	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
0	1	-	-	08:00	00:00
50001	2	0.0233	0.0808	11:30	12:00
50002	2	0.01448	0.0474	09:00	10:30
50003	2	0.2699	0.7089	08:00	10:00
50004	2	0.03728	0.1293	09:00	11:00
50005	2	0.03492	0.0752	11:00	11:30
50006	2	0.09345	0.193	09:00	10:00
50007	2	0.11457	0.2499	08:30	10:00
50008	2	0.1188	0.2951	10:00	12:00
50009	2	0.32922	0.9087	10:00	12:00
50010	2	0.01864	0.0647	09:30	11:30
50011	2	0.0233	0.0808	10:00	11:00
50012	2	0.0233	0.0808	08:00	09:00
50013	2	0.16514	0.4699	11:00	12:00
50014	2	0.00788	0.0913	09:30	11:00
50015	2	0.172	0.4	10:00	12:00
50016	2	0.01864	0.0647	08:00	09:30
50017	2	0.0233	0.0808	09:00	11:00
50018	2	0.00268	0.016	08:00	08:30
50019	2	0.0233	0.0808	10:00	10:30
50020	2	0.00484	0.016	10:30	11:00
50021	2	0.02152	0.0766	08:00	09:00
50022	2	0.2312	0.6549	09:00	10:00
50023	2	0.4266	0.9951	10:00	11:00
50024	2	0.1829	0.5048	08:00	09:00
50025	2	0.289	0.8238	09:00	10:00
50026	2	0.61941	1.226	10:00	11:30
50027	2	0.20617	0.394	09:00	10:30
50028	2	0.17006	0.4104	10:00	11:30
50029	2	0.07206	0.1378	09:00	10:30
50030	2	0.1957	0.565	08:30	10:30
50031	2	0.0101	0.0238	09:30	11:30
50032	2	0.02286	0.0323	11:00	12:00
50033	2	0.01584	0.0208	09:00	10:00
50034	2	0.06624	0.0935	08:00	09:00
50035	2	0.17127	0.4699	11:00	12:00
50036	2	0.01864	0.0647	08:00	09:00
50037	2	0.22074	0.6799	10:00	11:30
50038	2	0.39317	1.0838	10:30	12:00
50039	2	1.33534	10.0352	10:00	11:30
50040	2	0.26759	0.6061	08:00	09:00
50041	2	0.00724	0.0237	08:30	10:00
50042	2	0.15215	0.3912	09:30	11:30
50043	2	0.0502	0.1166	09:00	10:30
50044	2	0.1786	0.3202	10:00	11:30
50045	2	0.76629	1.5824	09:00	11:00
50046	2	0.10814	0.3142	08:30	10:30
50047	2	0.07274	0.1546	08:00	10:00
50048	2	0.0724	0.2369	08:00	10:00
50049	2	0.00459	0.0313	09:00	11:00
50050	2	0.32034	0.6451	08:00	10:00
50051	2	0.4215	0.8489	09:00	11:00
50052	2	0.26976	0.5433	10:00	12:00
50053	2	0.08702	0.1659	10:00	12:00
50054	2	0.32679	0.6665	10:30	11:00
50055	2	0.1869	0.3859	08:30	10:00
50056	2	0.01112	0.0371	08:00	09:30
50057	2	0.0828	0.1169	10:00	12:00
50058	2	0.0202	0.0475	09:00	11:00
50059	2	0.01536	0.0446	10:00	12:00
50060	2	0.07945	0.2524	09:00	11:00
50061	2	0.01292	0.0287	09:30	10:00
50062	2	0.01869	0.0386	10:30	11:00
50063	2	0.11044	0.2565	10:00	10:30
50064	2	0.19803	0.4382	08:00	09:30
50065	2	0.183	0.4942	08:00	10:00
50066	2	0.016924	0.0873	08:00	10:00
50067	2	0.09749	0.2419	08:00	09:30
50068	2	0.07872	0.5407	08:30	10:30
50069	2	0.00371	0.0066	09:30	11:30
50070	2	0.00236	0.0131	09:00	11:00
50071	2	0.25534	0.644	08:30	10:30
50072	2	0.0112	0.0672	09:30	11:30
50073	2	0.0116	0.131	09:00	10:30
50074	2	0.0743	0.1762	10:00	12:00
50075	2	0.0042	0.084	09:30	11:00
50076	2	0.00243	0.0066	09:00	11:00
50077	2	0.0068	0.0128	10:00	11:30
50078	2	0.00138	0.0172	08:00	09:30
50079	2	0.0037	0.0121	09:00	10:00
50080	2	0.02106	0.042	08:00	09:30
50081	2	0.00938	0.0512	09:30	10:30
50082	2	0.01754	0.027	10:30	12:00
50083	2	0.1	1	09:00	10:00
50084	2	0.00872	0.0261	08:00	09:00
