345658.684000
trans_code vehicle_type dis_seq distribute_lea_tm distribute_arr_tm distance trans_cost charge_cost wait_cost fixed_use_cost total_cost charge_cnt
DP0001 1 50000;50674;50012;50566;50189;50216;50111;50057;50910;50939;50994;50993;51165;50000 8:0 17:37 138940 1667.28 50 0.40 200 1917.68 1
DP0002 1 50000;50093;50153;50003;50692;50255;50008;50903;50914;50937;51099;51085;51106;50000 8:0 18:30 157971 1895.65 50 10.40 200 2156.05 1
DP0003 2 50000;50312;50296;50398;50124;50451;50009;50919;51070;50943;50930;50000 8:0 16:7 107273 1501.82 0 7.60 300 1809.42 0
DP0004 1 50000;50154;50036;50007;50733;50336;50082;50966;51076;51009;51062;51120;50000 8:0 16:56 105774 1269.29 50 12.40 200 1531.69 1
DP0005 1 50000;50858;50024;50824;50138;50014;50381;50458;50933;51007;51073;51024;51182;50000 8:0 17:51 130091 1561.09 50 3.20 200 1814.29 1
DP0006 1 50000;50018;50133;50841;50765;50037;50053;50934;51166;51065;50976;50000 8:0 16:33 127181 1526.17 50 0.00 200 1776.17 1
DP0007 2 50000;50122;50164;50050;50819;50823;50367;50954;50996;51051;50972;51168;50000 8:0 18:29 185813 2601.38 50 0.00 300 2951.38 1
DP0008 1 50000;50838;50064;50762;50130;50119;51147;50000 8:0 14:17 104524 1254.29 50 0.00 200 1504.29 1
DP0009 2 50000;50171;50056;50543;50004;50035;50926;51005;51092;50915;51157;50000 8:0 18:13 147354 2062.96 50 12.80 300 2425.76 1
DP0010 1 50000;50859;50179;50373;50172;50555;51176;50000 8:0 14:3 122676 1472.11 50 0.00 200 1722.11 1
DP0011 2 50000;50486;50177;50513;50011;50672;50953;50992;50909;51042;50990;51176;50000 8:0 17:59 154603 2164.44 50 7.60 300 2522.04 1
DP0012 2 50000;50524;50108;50025;50581;50563;50636;50957;51034;51044;51058;51111;50000 8:0 17:31 148188 2074.63 50 0.00 300 2424.63 1
DP0013 1 50000;50868;50589;50444;50183;50850;50155;50000 8:0 12:41 87966 1055.59 0 0.00 200 1255.59 0
DP0014 1 50000;50554;50533;50066;50890;50200;50965;50925;51166;50901;50000 8:0 16:51 141393 1696.72 50 22.40 200 1969.12 1
DP0015 2 50000;50736;50282;50404;50775;50605;50275;50879;51036;51053;50942;50906;50000 8:0 16:12 81074 1135.04 0 13.20 300 1448.24 0
DP0016 2 50000;50860;50877;50371;50002;50139;50052;50960;51011;50917;51097;50986;51195;50000 8:0 18:7 156985 2197.79 50 0.00 300 2547.79 1
DP0017 1 50000;50021;50006;50097;50087;50985;51071;51119;50938;50000 8:0 16:9 147367 1768.40 50 5.20 200 2023.60 1
DP0018 1 50000;50207;50725;50422;50076;50872;51107;50000 8:0 14:5 129279 1551.35 50 0.00 200 1801.35 1
DP0019 1 50000;50040;50319;50407;50334;50010;50962;51056;51115;50921;50940;50000 8:0 16:30 120019 1440.23 50 4.80 200 1695.03 1
DP0020 2 50000;50084;50897;50160;50202;50744;50032;50980;51006;50951;51077;50982;51198;50000 8:0 18:10 155205 2172.87 50 2.40 300 2525.27 1
DP0021 2 50000;50090;50078;50570;50051;50593;51015;51032;51028;50932;51118;50000 8:0 16:57 163489 2288.85 50 6.00 300 2644.85 1
DP0022 1 50000;50105;50237;50019;50792;50074;51035;51037;50963;51060;51112;50000 8:0 18:0 124446 1493.35 50 9.20 200 1752.55 1
DP0023 2 50000;50298;50262;50243;50265;50308;51106;50000 8:0 14:18 126779 1774.91 50 1.20 300 2126.11 1
DP0024 1 50000;50305;50208;50507;50735;51107;50000 8:0 13:52 165851 1990.21 50 0.00 200 2240.21 1
DP0025 2 50000;50131;50497;50055;50077;50457;50240;50945;51002;51003;51033;50000 8:0 17:13 111632 1562.85 0 22.00 300 1884.85 0
DP0026 1 50000;50144;50242;50366;50075;50480;50988;50923;50941;51030;51133;50000 8:0 17:59 160086 1921.03 50 16.80 200 2187.83 1
DP0027 2 50000;50157;50235;50030;50764;50571;50989;51050;50950;51168;50000 8:0 18:4 188609 2640.53 50 22.00 300 3012.53 1
DP0028 1 50000;50165;50211;50100;50757;50129;51054;51169;50912;51086;50000 8:0 17:45 168038 2016.46 50 5.60 200 2272.06 1
DP0029 2 50000;50170;50567;50633;50331;50695;50015;51094;51064;50920;50973;50000 8:0 17:0 123685 1731.59 0 5.60 300 2037.19 0
DP0030 1 50000;50572;50436;50896;50668;50848;51184;50000 8:0 13:36 107123 1285.48 50 0.00 200 1535.48 1
DP0031 2 50000;50178;50217;50855;50023;50206;51022;51045;51089;51150;50000 8:0 16:23 129994 1819.92 50 3.20 300 2173.12 1
DP0032 2 50000;50601;50418;50281;50128;51133;50000 8:4 13:46 137614 1926.60 50 0.00 300 2276.60 1
