ID	type	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
0	1	-	-	08:00	00:00
30001	2	0.25683	0.4037	08:00	10:00
30002	2	0.2586	0.3895	10:00	11:00
30003	2	0.263235	0.4009	09:00	11:00
30004	2	0.189526	0.3244	10:00	11:30
30005	2	0.15241	0.2824	10:00	11:00
30006	2	0.18954	0.3187	10:30	11:00
30007	2	0.16873	0.3001	11:00	11:30
30008	2	0.157635	0.5899	09:00	10:30
30009	2	0.0065	0.0104	08:30	09:30
30010	2	0.21551	0.3916	08:00	09:00
30011	2	0.00432	0.0214	10:00	10:30
30012	2	0.0086	0.0127	09:00	11:00
30013	2	0.170635	0.2697	10:30	11:30
30014	2	0.0924	0.3371	08:30	09:00
30015	2	0.16405	0.2977	08:30	10:00
30016	2	0.18376	0.3214	10:00	11:00
30017	2	0.28185	0.4355	09:30	10:00
30018	2	0.01988	0.0373	09:00	11:00
30019	2	0.12084	0.8618	09:00	10:00
30020	2	0.0098	0.0786	10:30	11:00
30021	2	0.18068	0.406	08:30	10:00
30022	2	0.00144	0.0146	10:00	11:00
30023	2	0.00138	0.0022	10:00	12:00
30024	2	0.09835	0.6469	09:30	11:00
30025	2	0.278405	0.4935	09:30	10:00
30026	2	0.0029	0.0515	09:00	11:00
30027	2	0.00249	0.034	09:00	10:00
30028	2	0.15183	0.2457	10:30	11:00
30029	2	0.19423	0.3383	09:00	10:30
30030	2	0.00147	0.0073	10:00	11:00
30031	2	0.0336	0.0734	08:00	10:00
30032	2	0.05849	0.4164	10:00	11:30
30033	2	0.20116	1.4653	09:30	10:00
30034	2	0.149455	0.4203	08:00	09:30
30035	2	0.028	0.2245	09:30	10:00
30036	2	0.1076	0.2995	10:00	11:30
30037	2	0.17524	1.3183	10:00	11:00
30038	2	0.0344	0.056	08:30	10:30
30039	2	0.234	0.4353	10:00	11:00
30040	2	0.2146	0.3796	08:30	10:30
30041	2	0.0063	0.0155	08:30	09:30
30042	2	0.60931	4.578	10:00	10:30
30043	2	0.361275	0.6278	10:00	11:00
30044	2	0.189518	0.362	08:00	09:00
