ID	type	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
0	1	-	-	08:00	00:00
1	2	0.2076	0.3666	09:00	12:00
2	2	0.05863	0.1687	13:30	14:00
3	2	0.03645	0.0745	13:00	15:00
4	2	0.02595	0.0542	09:00	10:00
5	2	0.0198	0.1117	11:00	13:30
6	2	0.02653	0.0409	11:30	13:00
7	2	0.06097	0.1057	09:00	11:00
8	2	0.01075	0.0455	13:00	15:00
9	2	0.221895	0.3375	09:00	12:00
10	2	0.025	0.2034	13:00	14:00
11	2	0.051942	0.1037	13:30	15:30
12	2	0.04723	0.0964	13:30	15:30
13	2	0.692255	1.1219	13:30	14:00
14	2	0.01055	0.026	10:00	12:00
15	2	0.0505	0.1151	11:00	12:00
16	2	0.348	3.4027	09:30	11:00
17	2	0.4524	4.4235	10:00	11:00
18	2	0.518445	1.4488	09:30	10:30
19	2	0.0208	0.1346	13:00	14:00
20	2	0.0886	0.1477	09:00	10:00
21	2	0.02865	0.0513	09:00	12:00
22	2	0.0105	0.0386	10:00	11:00
23	2	0.0856	0.1566	13:00	14:30
24	2	0.03304	0.1331	13:30	15:30
25	2	0.02366	0.3351	09:00	12:00
26	2	0.08944	0.1272	10:00	12:00
27	2	0.015	0.3662	13:30	15:30
28	2	0.03798	0.051	13:30	15:30
29	2	0.02212	0.798	13:30	14:00
30	2	0.24	0.4176	10:00	11:00
31	2	0.013	0.0368	09:30	11:00
32	2	0.3153	0.6039	11:00	12:00
33	2	0.1716	0.4511	13:30	14:00
34	2	0.04826	0.1466	11:00	13:30
35	2	0.01467	0.1156	10:00	11:00
36	2	0.0124	0.159	10:00	12:00
37	2	0.01817	0.0293	11:00	13:00
38	2	0.06247	0.121	13:00	14:00
39	2	0.0202	0.0515	09:00	12:00
40	2	0.0106	0.0244	11:00	13:30
41	2	0.06498	0.4311	13:00	14:00
42	2	0.0135	0.0942	09:30	10:30
43	2	0.0129	0.0973	13:30	14:00
44	2	0.0129	0.0973	13:00	15:30
45	2	0.012	0.0837	09:00	11:00
46	2	0.02331	0.0956	13:00	15:00
47	2	0.36857	0.5909	13:30	14:30
48	2	0.0294	0.1717	11:00	13:30
